UV_280_X (Vol),UV_280_Y (Abs),UV_260_X (Vol),UV_260_Y (Abs)
0.403498,-22.850527,2.233204,-27.088171
0.404661,-22.841837,2.23902,-27.088388
0.405823,-22.842968,2.244836,-27.087484
0.406986,-22.848068,2.250651,-27.087067
0.408149,-22.85342,2.256467,-27.089821
0.409312,-22.858791,2.262283,-27.095314
0.410475,-22.843933,2.268098,-27.098248
0.411638,-22.806034,2.273914,-27.100149
0.4128,-22.762457,2.279729,-27.099741
0.413963,-22.718782,2.285545,-27.09967
0.415126,-22.67609,2.291361,-27.096148
0.416289,-22.638395,2.297176,-27.097105
0.417452,-22.608122,2.302992,-27.10211
0.418614,-22.580975,2.308808,-27.104967
0.419777,-22.553833,2.314623,-27.106239
0.42094,-22.526834,2.320439,-27.110435
0.422103,-22.502823,2.326255,-27.116663
0.423266,-22.487955,2.33207,-27.11763
0.424429,-22.478292,2.337886,-27.122253
0.425591,-22.468628,2.343701,-27.126541
0.426754,-22.456005,2.349517,-27.127745
0.427917,-22.438402,2.355333,-27.127335
0.42908,-22.416389,2.361148,-27.129547
0.430243,-22.393137,2.366964,-27.130022
0.431405,-22.371262,2.37278,-27.129007
0.432568,-22.349497,2.378595,-27.133226
0.433731,-22.321901,2.384411,-27.137524
0.434894,-22.285606,2.390227,-27.14012
0.436057,-22.247499,2.396042,-27.143557
0.43722,-22.209381,2.401858,-27.147739
0.438382,-22.171196,2.407673,-27.149723
0.439545,-22.146904,2.413489,-27.152237
0.440708,-22.146374,2.419305,-27.155989
0.441871,-22.1483,2.42512,-27.159569
0.443034,-22.150331,2.430936,-27.165274
0.444196,-22.152351,2.436752,-27.17127
0.445359,-22.15181,2.442567,-27.175402
0.446522,-22.147652,2.448383,-27.178377
0.447685,-22.14349,2.454199,-27.183027
0.448848,-22.139372,2.460014,-27.187172
0.450011,-22.135277,2.46583,-27.189455
0.451173,-22.131119,2.471645,-27.191525
0.452336,-22.126909,2.477461,-27.190781
0.453499,-22.122713,2.483277,-27.188677
0.454662,-22.118723,2.489092,-27.187717
0.455825,-22.117163,2.494908,-27.18862
0.456987,-22.119091,2.500724,-27.189348
0.45815,-22.121361,2.506539,-27.194408
0.459313,-22.123636,2.512355,-27.199261
0.460476,-22.126629,2.518171,-27.199112
0.461639,-22.13077,2.523986,-27.197916
0.462802,-22.135015,2.529802,-27.196671
0.463964,-22.139265,2.535617,-27.194984
0.465127,-22.143518,2.541433,-27.196619
0.46629,-22.148911,2.547249,-27.201982
0.467453,-22.156113,2.553064,-27.20742
0.468616,-22.163567,2.55888,-27.213968
0.469778,-22.17104,2.564696,-27.218807
0.470941,-22.178827,2.570511,-27.223591
0.472104,-22.188179,2.576327,-27.227549
0.473267,-22.198702,2.582143,-27.229717
0.47443,-22.208612,2.587958,-27.230848
0.475593,-22.218565,2.593774,-27.23386
0.476755,-22.229292,2.599589,-27.235722
0.477918,-22.241547,2.605405,-27.235167
0.479081,-22.254486,2.611221,-27.234766
0.480244,-22.267365,2.617036,-27.237642
0.481407,-22.28021,2.622852,-27.241518
0.482569,-22.293839,2.628668,-27.243996
0.483732,-22.308134,2.634483,-27.249298
0.484895,-22.321531,2.640299,-27.255894
0.486058,-22.334709,2.646115,-27.257473
0.487221,-22.349068,2.65193,-27.256084
0.488384,-22.364288,2.657746,-27.256573
0.489546,-22.380848,2.663561,-27.257086
0.490709,-22.395956,2.669377,-27.256979
0.491872,-22.410711,2.675193,-27.259121
0.493035,-22.425615,2.681008,-27.26265
0.494198,-22.441095,2.686824,-27.265146
0.49536,-22.456522,2.69264,-27.267748
0.496523,-22.469784,2.698455,-27.270634
0.497686,-22.48279,2.704271,-27.271952
0.498849,-22.496037,2.710087,-27.271574
0.500012,-22.509911,2.715902,-27.270735
0.501175,-22.52306,2.721718,-27.271135
0.502337,-22.533947,2.727533,-27.272259
0.5035,-22.544857,2.733349,-27.272583
0.504663,-22.556055,2.739165,-27.274063
0.505826,-22.567778,2.74498,-27.276909
0.506989,-22.57802,2.750796,-27.279541
0.508151,-22.587332,2.756612,-27.280432
0.509314,-22.596785,2.762427,-27.280153
0.510477,-22.607037,2.768243,-27.282413
0.51164,-22.618238,2.774059,-27.284218
0.512803,-22.627979,2.779874,-27.284813
0.513966,-22.637333,2.78569,-27.288637
0.515128,-22.64662,2.791505,-27.293385
0.516291,-22.655867,2.797321,-27.294724
0.517454,-22.664213,2.803137,-27.296854
0.518617,-22.670815,2.808952,-27.298586
0.51978,-22.677479,2.814768,-27.297884
0.520942,-22.684074,2.820584,-27.300577
0.522105,-22.690266,2.826399,-27.306726
0.523268,-22.695824,2.832215,-27.312752
0.524431,-22.700747,2.838031,-27.318113
0.525594,-22.705681,2.843846,-27.322857
0.526757,-22.710943,2.849662,-27.326679
0.527919,-22.717058,2.855478,-27.328957
0.529082,-22.722347,2.861293,-27.328535
0.530245,-22.727018,2.867109,-27.327627
0.531408,-22.731701,2.872924,-27.327204
0.532571,-22.736408,2.87874,-27.326584
0.533733,-22.740948,2.884556,-27.325188
0.534896,-22.744495,2.890371,-27.323969
0.536059,-22.74781,2.896187,-27.323994
0.537222,-22.751036,2.902003,-27.326214
0.538385,-22.753969,2.907818,-27.328831
0.539548,-22.75651,2.913634,-27.330898
0.54071,-22.757492,2.91945,-27.335619
0.541873,-22.75848,2.925265,-27.340759
0.543036,-22.759485,2.931081,-27.344402
0.544199,-22.760986,2.936896,-27.346653
0.545362,-22.764133,2.942712,-27.34831
0.546524,-22.767342,2.948528,-27.348993
0.547687,-22.770546,2.954343,-27.3501
0.54885,-22.773779,2.960159,-27.349855
0.550013,-22.777475,2.965975,-27.348793
0.551176,-22.781902,2.97179,-27.349524
0.552339,-22.786415,2.977606,-27.349951
0.553501,-22.790918,2.983422,-27.351828
0.554664,-22.795446,2.989237,-27.355808
0.555827,-22.800371,2.995053,-27.360859
0.55699,-22.804972,3.000868,-27.367945
0.558153,-22.809586,3.006684,-27.374231
0.559315,-22.814188,3.0125,-27.375046
0.560478,-22.818769,3.018315,-27.372643
0.561641,-22.823465,3.024131,-27.373278
0.562804,-22.829453,3.029947,-27.373178
0.563967,-22.83564,3.035762,-27.37435
0.56513,-22.841759,3.041578,-27.379789
0.566292,-22.847918,3.047394,-27.386213
0.567455,-22.854118,3.053209,-27.389915
0.568618,-22.861107,3.059025,-27.394663
0.569781,-22.868153,3.06484,-27.398293
0.570944,-22.875252,3.070656,-27.400267
0.572106,-22.882242,3.076472,-27.403448
0.573269,-22.888752,3.082287,-27.40724
0.574432,-22.893597,3.088103,-27.409422
0.575595,-22.898441,3.093919,-27.410908
0.576758,-22.903299,3.099734,-27.409811
0.57792,-22.908096,3.10555,-27.40658
0.579083,-22.912582,3.111366,-27.404709
0.580246,-22.918003,3.117181,-27.403843
0.581409,-22.923403,3.122997,-27.403084
0.582572,-22.928804,3.128812,-27.406199
0.583735,-22.934175,3.134628,-27.412264
0.584897,-22.939304,3.140444,-27.416658
0.58606,-22.945633,3.146259,-27.420475
0.587223,-22.95199,3.152075,-27.424515
0.588386,-22.958324,3.157891,-27.428009
0.589549,-22.964678,3.163706,-27.428911
0.590712,-22.9708,3.169522,-27.430529
0.591874,-22.975428,3.175338,-27.430689
0.593037,-22.980249,3.181153,-27.430576
0.5942,-22.985287,3.186969,-27.43161
0.595363,-22.990339,3.192784,-27.435444
0.596526,-22.99584,3.1986,-27.438438
0.597688,-23.001295,3.204416,-27.443069
0.598851,-23.006681,3.210231,-27.44747
0.600014,-23.012051,3.216047,-27.451571
0.601177,-23.017422,3.221863,-27.45639
0.60234,-23.02404,3.227678,-27.460283
0.603503,-23.031715,3.233494,-27.462448
0.604665,-23.039471,3.23931,-27.466618
0.605828,-23.04723,3.245125,-27.469622
0.606991,-23.055023,3.250941,-27.47032
0.608154,-23.063391,3.256756,-27.472235
0.609317,-23.070671,3.262572,-27.475346
0.610479,-23.077824,3.268388,-27.476908
0.611642,-23.085009,3.274203,-27.475012
0.612805,-23.092148,3.280019,-27.473892
0.613968,-23.099821,3.285835,-27.474537
0.615131,-23.105299,3.29165,-27.475073
0.616293,-23.110596,3.297466,-27.47621
0.617456,-23.115877,3.303282,-27.477722
0.618619,-23.121321,3.309097,-27.481146
0.619782,-23.127403,3.314913,-27.481188
0.620945,-23.133209,3.320728,-27.480698
0.622108,-23.139015,3.326544,-27.481514
0.62327,-23.144835,3.33236,-27.489182
0.624433,-23.151316,3.338175,-27.490023
0.625596,-23.159107,3.343991,-27.493364
0.626759,-23.166147,3.349807,-27.498159
0.627922,-23.173149,3.355622,-27.50157
0.629085,-23.180197,3.361438,-27.502092
0.630247,-23.186684,3.367254,-27.505543
0.63141,-23.191256,3.373069,-27.507963
0.632573,-23.194929,3.378885,-27.508972
0.633736,-23.198545,3.3847,-27.510267
0.634899,-23.202168,3.390516,-27.513365
0.636061,-23.207659,3.396332,-27.517605
0.637224,-23.21331,3.402147,-27.521729
0.638387,-23.218798,3.407963,-27.524891
0.63955,-23.224289,3.413779,-27.528894
0.640713,-23.229778,3.419594,-27.530716
0.641876,-23.235937,3.42541,-27.53034
0.643038,-23.241875,3.431226,-27.530283
0.644201,-23.247517,3.437041,-27.535439
0.645364,-23.252775,3.442857,-27.537712
0.646527,-23.258415,3.448672,-27.537498
0.64769,-23.263634,3.454488,-27.539396
0.648852,-23.268162,3.460304,-27.540659
0.650015,-23.272541,3.466119,-27.538485
0.651178,-23.276917,3.471935,-27.540173
0.652341,-23.281902,3.477751,-27.547001
0.653504,-23.287439,3.483566,-27.551596
0.654666,-23.291679,3.489382,-27.557383
0.655829,-23.295574,3.495198,-27.564371
0.656992,-23.299456,3.501013,-27.567163
0.658155,-23.30335,3.506829,-27.565199
0.659318,-23.307684,3.512644,-27.566839
0.660481,-23.312597,3.51846,-27.566574
0.661643,-23.317621,3.524276,-27.563196
0.662806,-23.322674,3.530091,-27.562403
0.663969,-23.329203,3.535907,-27.565079
0.665132,-23.334742,3.541723,-27.569902
0.666295,-23.339287,3.547538,-27.577805
0.667458,-23.343691,3.553354,-27.582523
0.66862,-23.348097,3.55917,-27.587076
0.669783,-23.352449,3.564985,-27.590816
0.670946,-23.356277,3.570801,-27.591854
0.672109,-23.359726,3.576616,-27.590324
0.673272,-23.363136,3.582432,-27.595959
0.674434,-23.36668,3.588248,-27.595226
0.675597,-23.370918,3.594063,-27.593513
0.67676,-23.375778,3.599879,-27.590324
0.677923,-23.380739,3.605695,-27.596085
0.679086,-23.385721,3.61151,-27.5975
0.680248,-23.390715,3.617326,-27.604042
0.681411,-23.395096,3.623142,-27.612272
0.682574,-23.398363,3.628957,-27.620914
0.683737,-23.401438,3.634773,-27.620296
0.6849,-23.404493,3.640588,-27.619457
0.686063,-23.408304,3.646404,-27.619326
0.687225,-23.412781,3.65222,-27.617065
0.688388,-23.417315,3.658035,-27.617514
0.689551,-23.421869,3.663851,-27.617689
0.690714,-23.426445,3.669667,-27.620848
0.691877,-23.431768,3.675482,-27.62188
0.693039,-23.435879,3.681298,-27.622496
0.694202,-23.43955,3.687114,-27.622278
0.695365,-23.443182,3.692929,-27.6259
0.696528,-23.446833,3.698745,-27.627872
0.697691,-23.450476,3.70456,-27.631098
0.698854,-23.454044,3.710376,-27.630619
0.700016,-23.457838,3.716192,-27.633554
0.701179,-23.461781,3.722007,-27.63242
0.702342,-23.465769,3.727823,-27.630085
0.703505,-23.469835,3.733639,-27.635956
0.704668,-23.473459,3.739454,-27.643782
0.705831,-23.476816,3.74527,-27.646818
0.706993,-23.480173,3.751086,-27.648565
0.708156,-23.484119,3.756901,-27.651901
0.709319,-23.488951,3.762717,-27.650349
0.710482,-23.494064,3.768532,-27.65123
0.711645,-23.499151,3.774348,-27.656103
0.712807,-23.504248,3.780164,-27.662325
0.71397,-23.509249,3.785979,-27.664146
0.715133,-23.513573,3.791795,-27.670332
0.716296,-23.517172,3.797611,-27.676308
